,Unnamed: 0,join_code,chris_byrd,davy_ray,heidi_st_john,jaime_herrera_beutler,joe_kent,leslie_l_french,marie_gluesenkamp_perez,oliver_black,vicki_kraft,write_in,total_votes,winner_name,pct_chris_byrd,pct_davy_ray,pct_heidi_st_john,pct_jaime_herrera_beutler,pct_joe_kent,pct_leslie_l_french,pct_marie_gluesenkamp_perez,pct_oliver_black,pct_vicki_kraft,pct_write_in,margin_of_victory
0,0,Clark100,4,15,16,57,32,0,212,2,6,1,345,marie_gluesenkamp_perez,1.16,4.35,4.64,16.52,9.28,0.0,61.45,0.58,1.74,0.29,61.45
1,1,Clark101,5,5,20,77,37,0,266,0,6,0,416,marie_gluesenkamp_perez,1.2,1.2,4.81,18.51,8.89,0.0,63.94,0.0,1.44,0.0,63.94
2,2,Clark102,5,13,26,96,62,1,254,1,8,0,466,marie_gluesenkamp_perez,1.07,2.79,5.58,20.6,13.3,0.21,54.51,0.21,1.72,0.0,54.51
3,3,Clark104,9,12,49,131,86,1,294,0,14,0,596,marie_gluesenkamp_perez,1.51,2.01,8.22,21.98,14.43,0.17,49.33,0.0,2.35,0.0,49.33
4,4,Clark106,5,16,47,98,49,2,346,1,10,0,574,marie_gluesenkamp_perez,0.87,2.79,8.19,17.07,8.54,0.35,60.28,0.17,1.74,0.0,60.28
5,5,Clark108,10,8,24,139,61,3,357,5,8,3,618,marie_gluesenkamp_perez,1.62,1.29,3.88,22.49,9.87,0.49,57.77,0.81,1.29,0.49,57.77
6,6,Clark109,2,8,19,57,37,1,251,0,6,0,381,marie_gluesenkamp_perez,0.52,2.1,4.99,14.96,9.71,0.26,65.88,0.0,1.57,0.0,65.88
7,7,Clark110,6,8,22,47,41,1,227,0,6,0,358,marie_gluesenkamp_perez,1.68,2.23,6.15,13.13,11.45,0.28,63.41,0.0,1.68,0.0,63.41
8,8,Clark112,6,3,3,18,16,0,48,0,3,0,97,marie_gluesenkamp_perez,6.19,3.09,3.09,18.56,16.49,0.0,49.48,0.0,3.09,0.0,49.48
9,9,Clark113,3,8,31,33,52,0,158,0,13,0,298,marie_gluesenkamp_perez,1.01,2.68,10.4,11.07,17.45,0.0,53.02,0.0,4.36,0.0,53.02
10,10,Clark120,4,20,42,112,56,0,254,2,9,0,499,marie_gluesenkamp_perez,0.8,4.01,8.42,22.44,11.22,0.0,50.9,0.4,1.8,0.0,50.9
11,11,Clark125,7,11,46,95,41,2,330,3,8,0,543,marie_gluesenkamp_perez,1.29,2.03,8.47,17.5,7.55,0.37,60.77,0.55,1.47,0.0,60.77
12,12,Clark130,11,4,25,69,39,1,293,1,4,0,447,marie_gluesenkamp_perez,2.46,0.89,5.59,15.44,8.72,0.22,65.55,0.22,0.89,0.0,65.55
13,13,Clark135,7,2,13,53,24,2,131,0,3,0,235,marie_gluesenkamp_perez,2.98,0.85,5.53,22.55,10.21,0.85,55.74,0.0,1.28,0.0,55.74
14,14,Clark147,7,6,87,92,96,0,240,3,5,0,536,marie_gluesenkamp_perez,1.31,1.12,16.23,17.16,17.91,0.0,44.78,0.56,0.93,0.0,44.78
15,15,Clark150,12,16,33,72,65,4,232,1,6,0,441,marie_gluesenkamp_perez,2.72,3.63,7.48,16.33,14.74,0.91,52.61,0.23,1.36,0.0,52.61
16,16,Clark153,9,13,70,66,100,2,203,3,17,0,483,marie_gluesenkamp_perez,1.86,2.69,14.49,13.66,20.7,0.41,42.03,0.62,3.52,0.0,42.03
17,17,Clark160,5,9,19,52,37,3,162,0,11,0,298,marie_gluesenkamp_perez,1.68,3.02,6.38,17.45,12.42,1.01,54.36,0.0,3.69,0.0,54.36
18,18,Clark161,5,4,23,20,23,1,87,1,2,0,166,marie_gluesenkamp_perez,3.01,2.41,13.86,12.05,13.86,0.6,52.41,0.6,1.2,0.0,52.41
19,19,Clark170,10,3,24,52,41,2,153,1,3,0,289,marie_gluesenkamp_perez,3.46,1.04,8.3,17.99,14.19,0.69,52.94,0.35,1.04,0.0,52.94
20,20,Clark171,6,1,13,36,34,0,130,0,3,0,223,marie_gluesenkamp_perez,2.69,0.45,5.83,16.14,15.25,0.0,58.3,0.0,1.35,0.0,58.3
21,21,Clark173,6,11,41,50,49,0,200,1,4,0,362,marie_gluesenkamp_perez,1.66,3.04,11.33,13.81,13.54,0.0,55.25,0.28,1.1,0.0,55.25
22,22,Clark175,7,3,42,38,48,0,124,1,12,0,275,marie_gluesenkamp_perez,2.55,1.09,15.27,13.82,17.45,0.0,45.09,0.36,4.36,0.0,45.09
23,23,Clark177,7,3,11,20,12,2,62,0,2,0,119,marie_gluesenkamp_perez,5.88,2.52,9.24,16.81,10.08,1.68,52.1,0.0,1.68,0.0,52.1
24,24,Clark180,5,6,25,56,30,0,103,0,4,0,229,marie_gluesenkamp_perez,2.18,2.62,10.92,24.45,13.1,0.0,44.98,0.0,1.75,0.0,44.98
25,25,Clark185,3,7,30,43,34,2,107,0,12,0,238,marie_gluesenkamp_perez,1.26,2.94,12.61,18.07,14.29,0.84,44.96,0.0,5.04,0.0,44.96
26,26,Clark190,7,5,29,49,34,1,152,0,10,1,288,marie_gluesenkamp_perez,2.43,1.74,10.07,17.01,11.81,0.35,52.78,0.0,3.47,0.35,52.78
